3	10
3	10.028
3	10.111
3	10.25
3	10.417
3	10.583
3	10.75
3	10.889
3	10.972
3	11
3	11
3.0278	11.028
3.1111	11.111
3.25	11.25
3.4167	11.417
3.5833	11.583
3.75	11.75
3.8889	11.889
3.9722	11.972
4	12
4	12
4.0278	11.972
4.1111	11.889
4.25	11.75
4.4167	11.583
4.5833	11.417
4.75	11.25
4.8889	11.111
4.9722	11.028
5	11
5	11
5.0278	10.972
5.1111	10.889
5.25	10.75
5.4167	10.583
5.5833	10.417
5.75	10.25
5.8889	10.111
5.9722	10.028
6	10
6	10
6.0278	9.9722
6.1111	9.8889
6.25	9.75
6.4167	9.5833
6.5833	9.4167
6.75	9.25
6.8889	9.1111
6.9722	9.0278
7	9
7	9
7.0278	8.9722
7.1111	8.8889
7.25	8.75
7.4167	8.5833
7.5833	8.4167
7.75	8.25
7.8889	8.1111
7.9722	8.0278
8	8
8	8
8.0278	8
8.1111	8
8.25	8
8.4167	8
8.5833	8
8.75	8
8.8889	8
8.9722	8
9	8
9	8
9.0278	7.9722
9.1111	7.8889
9.25	7.75
9.4167	7.5833
9.5833	7.4167
9.75	7.25
9.8889	7.1111
9.9722	7.0278
10	7
10	7
10.028	6.9722
10.111	6.8889
10.25	6.75
10.417	6.5833
10.583	6.4167
10.75	6.25
10.889	6.1111
10.972	6.0278
11	6
11	6
11.028	5.9722
11.111	5.8889
11.25	5.75
11.417	5.5833
11.583	5.4167
11.75	5.25
11.889	5.1111
11.972	5.0278
12	5
12	5
12.028	5
12.111	5
12.25	5
12.417	5
12.583	5
12.75	5
12.889	5
12.972	5
13	5
13	5
13.028	4.9722
13.111	4.8889
13.25	4.75
13.417	4.5833
13.583	4.4167
13.75	4.25
13.889	4.1111
13.972	4.0278
14	4
14	4
13.972	3.9722
13.889	3.8889
13.75	3.75
13.583	3.5833
13.417	3.4167
13.25	3.25
13.111	3.1111
13.028	3.0278
13	3
13	3
12.972	3
12.889	3
12.75	3
12.583	3
12.417	3
12.25	3
12.111	3
12.028	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
